Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
188,0,188-0,COSTA RICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,1.1,188-1.1,,,Total arrivals,,,Thousands,,VF,924,940,1013,1167,1267,1278,1320,1335,1514,1771,1959,2071,2302,2409,2309,2495,2526,2542,2641,2760,2899,3204,3231,3313,3378.3,1146.5,1375.8,2497.1,
384,0,384-0,COTE D´IVOIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,1.1,384-1.1,,,Total arrivals,,,Thousands,1/,VF,188,237,274,301,..,..,..,..,..,..,..,..,182,205,231,252,270,289,380,471,1441,1583,1800,1965,2070,668,576,2047,
191,0,191-0,CROATIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,1.1,191-1.1,,,Total arrivals,,,Thousands,,VF,16100,19085,23660,25499,29215,37226,40129,41737,42857,44974,45762,47733,52271,51336,47573,49006,49969,47185,48345,51168,55858,57587,59238,57668,60021,21608,34123,50023,
192,0,192-0,CUBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,1.1,192-1.1,,,Total arrivals,,,Thousands,,VF,745,1004,1170,1416,1603,1774,1775,1686,1906,2049,2319,2221,2152,2348,2430,2532,2716,2847,2862,3014,3540,4009,4654,4712,4276,1086,356.4,1614.1,
535,0,535-0,CURAÇAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,1.1,535-1.1,,,Total arrivals,,,Thousands,,VF,396,387,422,437,433,514,519,545,508,452,510,572,664,773,808,762,837,908,1071,1129,1072,944,1058,1210,1293,436,418,1034.2,
196,0,196-0,CYPRUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,1.1,196-1.1,,,Total arrivals,,,Thousands,,VF,2253,2089,2194,2357,2578,2912,2841,2495,2416,2478,2657,2629,2671,2631,2370,2450,2626,2635,2626,2558,2780,3286,3750,4024,4117,..,..,..,
203,0,203-0,CZECH REPUBLIC (CZECHIA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,1.1,203-1.1,,,Total arrivals,,,Thousands,,VF,..,..,..,..,..,..,..,..,20108,23808,24747,25102,22625,21850,23285,21941,22810,25750,26332,27166,29604,32519,34701,36268,37202,10267,10014,..,
208,0,208-0,DENMARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,1.1,208-1.1,,,Total arrivals,,,Thousands,1/,VF,..,..,..,..,..,..,..,..,21119,22054,26927,26936,27138,26870,26571,26730,25811,26402,26516,28070,28209,28692,30736,30801,32065,16031,18372,31530,
262,0,262-0,DJIBOUTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,1.1,262-1.1,,,Total arrivals,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
212,0,212-0,DOMINICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,1.1,212-1.1,,,Total arrivals,,,Thousands,,VF,203,261,299,312,280,312,276,208,254,466,381,465,437,468,608,595,418,348,311,370,358,356,230,199,322,140,66,235,
214,0,214-0,DOMINICAN REPUBLIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,1.1,214-1.1,,,Total arrivals,,,Thousands,1/,VF,1806,2037,2482,2702,2932,3161,3090,3058,3680,3907,3981,4268,4365,4455,4489,4478,4654,4901,5114,5576,6129,6769,7296,7551,7550,2748,5327,8488.8,
218,0,218-0,ECUADOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,1.1,218-1.1,,,Total arrivals,,,Thousands,1/,VF,440,494,529,511,518,627,641,683,761,819,860,841,937,1005,968,1047,1141,1272,1364,1695,1676,1569,1806,2535,2108,507,669,1265,
818,0,818-0,EGYPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,1.1,818-1.1,,,Total arrivals,,,Thousands,,VF,3133,3896,3961,3454,4797,5506,4648,5192,6044,8104,8608,9083,11091,12835,12536,14731,9845,11532,9464,9878,9328,5399,8292,11346,13026,3677,7998,11724,
222,0,222-0,EL SALVADOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,1.1,222-1.1,,,Total arrivals,,,Thousands,,VF,..,..,..,..,..,867,804,885,798,1030,1306,1501,1720,1875,1482,1606,1634,1738,1822,1886,1973,2052,2247,2536,2639,707,1436,2541,
226,0,226-0,EQUATORIAL GUINEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,1.1,226-1.1,,,Total arrivals,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
232,0,232-0,ERITREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,1.1,232-1.1,,,Total arrivals,,,Thousands,1/,VF,315,417,410,188,57,70,113,101,80,87,83,78,81,70,79,84,107,129,141,119,114,142,..,..,..,..,..,..,
233,0,233-0,ESTONIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,1.1,233-1.1,,,Total arrivals,,,Thousands,1/,VF,2111,2444,2618,2909,3181,3310,3230,3253,3378,..,..,..,..,3828,3834,4369,4907,5007,5737,5804,5696,5942,6145,6033,6103,1695,1310,3497,
748,0,748-0,ESWATINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,1.1,748-1.1,,,Total arrivals,,,Thousands,,VF,..,1337,1635,986,1253,1151,1312,1371,1543,..,1182,1200,1230,1186,1344,1343,1328,1278,1299,1325,1256,1279,1343,1277,1226,345.3,210.7,502.5,
230,0,230-0,ETHIOPIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,1.1,230-1.1,,,Total arrivals,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
242,0,242-0,FIJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
