Country,Arrival by Region,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BANGLADESH,Other not classified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1,20.4,20.3,12.2,14.6,8.6,12.7,17.1,18.9,19.0,26.8,25.1,0.0
BARBADOS,Africa,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.3,1.5,2.0,1.7,1.7,1.7,1.3,0.6,0.5,0.0
BARBADOS,Americas,238.0,239.0,245.0,255.0,264.0,278.0,256.0,275.0,292.0,301.0,311.0,312.0,303.0,309.0,292.0,313.0,337.0,318.0,291.6,280.8,327.5,364.8,393.7,409.0,319.4,110.1,70.7,0.0
BARBADOS,East Asia and the Pacific,3.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,10.0,4.0,3.0,4.0,4.0,4.0,3.6,4.0,4.9,4.7,5.6,5.5,3.0,1.5,0.7,0.0
BARBADOS,Europe,195.0,201.0,221.0,252.0,245.0,262.0,247.0,219.0,234.0,246.0,230.0,241.0,251.0,250.0,219.0,211.0,224.0,210.0,208.5,230.5,255.2,258.4,259.7,259.7,196.3,92.2,68.1,0.0
BARBADOS,Middle East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.3,0.3,0.1,0.0
BARBADOS,South Asia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.1,1.1,1.2,1.0,1.6,1.4,1.1,0.7,0.3,0.0
BARBADOS,Other not classified,6.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,2.0,1.0,1.0,2.0,2.4,2.8,1.5,1.3,0.6,2.1,1.3,1.9,3.1,0.0
BELARUS,Africa,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.7,1.9,3.2,2.3,2.3,2.3,4.2,4.2,2.5,0.0,0.0
BELARUS,Americas,0.0,0.0,0.0,0.0,2.4,3.0,5.0,3.0,4.0,6.0,5.0,4.0,6.0,1.4,1.0,1.0,1.0,11.4,11.4,11.4,12.0,12.8,18.7,35.6,35.2,9.5,0.0,0.0
BELARUS,East Asia and the Pacific,0.0,0.0,0.0,0.0,0.4,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.1,1.0,1.0,4.0,13.9,17.6,16.6,22.3,24.1,25.8,45.7,64.0,21.8,0.0,0.0
