Country,Arrival by mode of transport,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BOTSWANA,Air,28.0,30.0,34.0,37.0,41.0,0.0,77.0,95.0,71.0,66.0,0.0,68.0,83.0,85.0,0.0,0.0,0.0,0.0,0.0,130.0,128.7,119.5,119.4,129.3,120.4,14.8,36.6,0.0
BOTSWANA,Land,493.0,482.0,573.0,713.0,803.0,0.0,1111.0,1179.0,1335.0,1457.0,0.0,1358.0,1653.0,2016.0,0.0,0.0,0.0,0.0,0.0,1953.0,1531.5,1592.6,1655.5,1700.9,1435.0,343.4,301.0,0.0
BRAZIL,Air,1343.0,1894.0,2005.0,2421.0,2534.0,2723.0,2960.0,2815.0,3083.0,3569.0,3938.0,3713.0,3747.0,3691.0,3349.0,3610.0,3808.0,3987.0,4066.0,4540.0,4318.4,4368.9,4187.5,4328.1,4288.5,1185.6,585.4,2467.1
BRAZIL,Water,43.0,53.0,70.0,123.0,127.0,161.0,134.0,79.0,57.0,74.0,106.0,123.0,129.0,110.0,154.0,151.0,182.0,150.0,135.0,130.0,116.8,136.3,149.7,204.8,225.2,123.5,1.6,81.0
BRAZIL,Land,605.0,718.0,775.0,2274.0,2446.0,2429.0,1678.0,891.0,993.0,1151.0,1314.0,1181.0,1150.0,1249.0,1299.0,1400.0,1443.0,1541.0,1612.0,1760.0,1870.6,2041.5,2251.6,2088.5,1839.4,837.3,158.9,1081.9
BRITISH VIRGIN ISLANDS,Air,104.0,108.0,108.0,128.0,129.0,136.0,144.0,135.0,153.0,220.0,205.0,165.0,147.0,132.0,105.0,109.0,93.0,86.0,88.0,84.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRITISH VIRGIN ISLANDS,Water,261.0,304.0,257.0,264.0,355.0,383.0,391.0,409.0,504.0,593.0,616.0,661.0,801.0,802.0,752.0,733.0,738.0,667.0,654.0,688.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRUNEI DARUSSALAM,Air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,126.0,158.0,179.0,226.0,157.0,214.0,242.0,209.0,225.0,201.0,218.0,218.8,259.0,278.0,333.2,62.3,3.5,0.0
BRUNEI DARUSSALAM,Water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.1,11.0,19.0,15.1,1.5,0.0,0.0
BRUNEI DARUSSALAM,Land,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4013.3,4046.0,4224.0,4100.6,1006.8,106.8,0.0
